Timestamp,Message,Message Type,Response,Response Type,Response Group,Response Accuracy,Accuracy Diagnosis,Fixed or Improved,Negative Sentiment,Notes
2/12/19 8:7PM,SILV,Freeform,"The address for SILV is Silver Center for Arts & Science, 100 Washington Sq East
",Building Codes,Campus,Full,,FALSE,FALSE,
2/12/19 8:7PM,🍴 Dining,Button,What question do you have about NYU Dining?,Dining Home,Dining,Full,,FALSE,FALSE,
2/12/19 8:7PM,What's for dinner?,Button,"18 Below
18 Waverly Pl. New York, NY 1003",Dining Menus,Dining,Full,,FALSE,FALSE,
2/12/19 8:8PM,Why doesn’t the school close,Freeform,Yikes! I couldn't find that. Want me to connect you with one of my humans? ✏️,Fallback,Fallback,None,AI,TRUE,TRUE,"Referring to snow day
"
2/12/19 8:8PM,when does weinstein dinning close,Freeform,NYU has a lot of Weinsteins! Which one do you want to know more about?,Weinstein Redirect,Redirects,Full,,FALSE,FALSE,
2/12/19 8:8PM,➡ Sidestein,Button,"Sidestein’s gourmet market features grab ‘n’ go convenient dining options for any time of day. The market also offers an assortment of fresh produce, bakery and coffee selections, snacks, bottled beverages, hot and cold food bar, and traditional essentials.
What would you like to know about Sidestein dining?",Sidestein Home,Dining,Full,,FALSE,FALSE,
2/12/19 8:9PM,✅ Dietary Options,Button,"Sidestein always has the following dietary options:

Vegan/Vegetarian ✅
Gluten Free ✅
Halal ❌
Kosher ✅*

*Pre-Packaged Meals Available",Sidestein DO,Dining,Full,,FALSE,FALSE,
2/12/19 8:10PM,How can I get acceptance to nyu,Freeform,"Sorry I didn't understand that, but I know a human who can. Want me to connect you? ✏️",Fallback,Fallback,None,No answer,FALSE,FALSE,
2/12/19 8:13PM,✍️ Admissions,Button,For questions about admissions:,Admissions Menu,Admissions,Full,,FALSE,FALSE,
2/12/19 8:15PM,Hey is there free food on campus right now?,Freeform,"If you are a undergraduate or graduate student running out of meal swipes or money for food, you can receive immediate short-term assistance with no questions asked!",?Courtesy Meals,Dining,Full,,FALSE,FALSE,
2/12/19 8:15PM,Can I meditate on campus?,Freeform,Oops I didn't get that. Wanna talk with a human? ✏️,Fallback,Fallback,None,AI,TRUE,FALSE,
2/12/19 8:16PM,WHat dining halls are open right now?,Freeform,Have you tried this dining hall?,?Random Dining,Dining,None,No content,FALSE,FALSE,
2/12/19 8:17PM,academic calendar,Freeform,For the academic calendar,?Academic Calendar,Academics,Full,,FALSE,FALSE,
2/12/19 8:17PM,What’s NYU rank in the world,Freeform,"NYU's diverse community and its place ""in and of"" NYC create a wealth of opportunities for students to learn, grow, and pursue their interests. NYU's Residential Life program can help students feel at home and build a fulfilling campus experience.",Housing Welcome,Housing,None,No content,FALSE,FALSE,
2/12/19 8:17PM,Making Friends Guide,Button,"Going to an urban school with a student body of over 50,000 can be pretty overwhelming, but it doesn’t mean making friends is impossible.",?Making Friends,Miscellaneous,Full,,FALSE,FALSE,
2/12/19 8:18PM,✨ Get Involved,Button,"For questions about how to get involved at NYU:
",Get Involved Menu,Miscellaneous,Full,,FALSE,FALSE,
2/12/19 8:18PM,Any hamilton,Freeform,Andrew (Andy) Hamilton is our very own president here at NYU 💜,?Andy Hamilton,Administration,Full,,FALSE,FALSE,
2/12/19 8:20PM,Andy hamilton,Freeform,"
Andrew (Andy) Hamilton is our very own president here at NYU 💜
The best way to reach him would be his email: andrew.hamilton@nyu.edu",?Andy Hamilton,Administration,Full,,FALSE,FALSE,
2/12/19 8:25PM,Where is Andy Hamilton from?,Freeform,Andrew (Andy) Hamilton is our very own president here at NYU 💜,?Andy Hamilton,Administration,Partial,No content,FALSE,FALSE,
2/12/19 8:26PM,Will it snow tomorrow,Freeform,"Are you wondering if you'll soon be playing in the snow like this panda? Here are the best places to get updates about NYU closing due to snow:
Facebook
Twitter
More Info",?Snow Day,Weather,Full,,FALSE,FALSE,
2/12/19 8:30PM,Where can I get my student ID,Freeform,NYUCard Photo Submission Guidelines,PS NYUCard,Public Safety,Partial,AI,FALSE,FALSE,
2/12/19 8:30PM,📍Visit PS,Button,"The address for the Card Center is:
7 Washington Pl., 
New York, NY 10003
The address for Public Safety is:
561 LaGuardia Pl.,
New York, NY 10003",PS Address,Public Safety,Full,,FALSE,FALSE,"User replied ""Thanks !!"""
2/12/19 8:30PM,“Building Codes”,Freeform,NYU's building codes can be confusing. Good thing I have them all memorized!,Building Codes,Campus,Full,,FALSE,FALSE,
2/12/19 8:30PM,Washington Sqauare SPS building,Freeform,Do you want to look up another one?,Building Codes,Campus,None,AI,FALSE,FALSE,
2/12/19 8:31PM,Whats the code?,Freeform,NYU's building codes can be confusing. Good thing I have them all memorized!,Building Codes,Campus,None,Vague,FALSE,FALSE,
2/12/19 8:32PM,mental health,Freeform,Here are some great mental health resources around NYU!,?Mental Health Resources,Student Health Center,Full,,FALSE,FALSE,
2/12/19 8:33PM,💜 NYU Traditions,Button,These events will make any NYU experience truly one to remember!,NYU Traditions Welcome,NYU Traditions,Full,,FALSE,FALSE,
2/12/19 8:33PM,🖥 HackNYU,Button,When: Every Feburary,HackNYU,NYU Traditions,Full,,FALSE,FALSE,
2/12/19 8:33PM,Where is tandon,Freeform,"The address for the Tandon School of Engineering Dean's Office is:
1 MetroTech Center., 
Brooklyn, NY 11201",Tandon Dean Address,Campus,Partial,No content,FALSE,FALSE,
2/12/19 8:34PM,Where can I find a microwave,Freeform,I think I misunderstood. Would you like me to connect you with one of my humans? ✏️,Fallback,Fallback,None,No content,FALSE,FALSE,
2/12/19 8:40PM,Is school canceled?,Freeform,"Each school has its own, separate admissions process (ex. application requirements and deadlines). For answers to questions about specific graduate programs:",GA Application,Admissions,None,AI,TRUE,FALSE,Referring to snow day
2/12/19 8:40PM,Are classes canceled,Freeform,"Everyone has that friend who swears by The Science of Happiness or some other super fun class you’re really jealous of. Well, my humans dug around Albert to find some of the coolest classes available, whether you want to take them or just brag about how dope NYU is.",Cool Classes,Academics,None,AI,TRUE,FALSE,Referring to snow day
2/12/19 8:40PM,✍️ Admissions,Button,For questions about admissions:,Admissions Menu,Admissions,Full,,FALSE,FALSE,
2/12/19 8:40PM,🐥 Graduate,Button,"Learning is meant for the real world, and NYU students benefit from an exceptional combination of scholarship and real-world application.",Graduate Admissions Welcome,Admissions,Full,,FALSE,FALSE,
2/12/19 8:41PM,snacks!!!,Freeform,"Looking for the best place to get a quick snack between classes, or wanna drown in the options of food markets?",Food Menu,Food & Drink,Full,,FALSE,FALSE,
2/12/19 8:41PM,🕛 24-Hour Spots,Button,"Perfect for finals season, this list contains all of the places you'll need to grab some grub after your late nights.",24 Hour Eateries,Food & Drink,Full,,FALSE,FALSE,
2/12/19 8:41PM,How much is tuition,Freeform,"As of March 2018, these are the expected",Cost of Attendance,Finances,Full,,FALSE,FALSE,
2/12/19 8:41PM,Can I have more financial aid,Freeform,There are four main ways to receive more aid,?More Financial Aid,Finances,Full,,FALSE,TRUE,
2/12/19 8:42PM,How old is NYU,Freeform,"As of March 2018, these are the expected",Cost of Attendance,Finances,None,No content,FALSE,FALSE,
2/12/19 8:42PM,Is NYU an Ivy League,Freeform,"NYU offers unparalleled opportunities to expand and enrich your education with an integrated, globally designed curriculum. With 15 global locations around the world, the sun never sets on NYU!",Study Away Welcome,Study Away,None,No content,FALSE,FALSE,
2/12/19 8:42PM,Is Columbia better?,Freeform,"Sorry I didn't understand that, but I know a human who can. Want me to connect you? ✏️",Fallback,Fallback,None,No answer,FALSE,TRUE,
2/12/19 8:43PM,Should I go to NYU or Columbia?,Freeform,Have you tried this dining hall?,?Random Dining,Dining,None,No answer,FALSE,FALSE,
2/12/19 8:43PM,Does Lipton Dining Hall have rats?,Freeform,"Lipton represents NYU Dining’s sustainable eating initiatives with a focus on vegetarian and vegan cuisine. Their Acre to Avenue platform serves a selection of seasonal locally grown fruits and vegetables, showing support for local farmers.",Lipton Dining Home,Dining,Partial,No content,FALSE,TRUE,
2/12/19 8:43PM,Food Inspection Grade,Freeform,"Looking for the best place to get a quick snack between classes, or wanna drown in the options of food markets?
",Food Menu,Food & Drink,None,No content,FALSE,FALSE,
2/12/19 8:43PM,I'm failing my classes,Freeform,NYU's building codes can be confusing. Good thing I have them all memorized!,Building Codes,Campus,None,AI,FALSE,TRUE,
2/12/19 8:44PM,housing,Freeform,"NYU's diverse community and its place ""in and of"" NYC create a wealth of opportunities for students to learn, grow, and pursue their interests. NYU's Residential Life program can help students feel at home and build a fulfilling campus experience.",Housing Welcome,Housing,Full,,FALSE,FALSE,
2/12/19 8:44PM,Free food,Freeform,"If you are a undergraduate or graduate student running out of meal swipes or money for food, you can receive immediate short-term assistance with no questions asked!",?Courtesy Meals,Dining,Full,,FALSE,FALSE,
2/12/19 8:44PM,What is the NYU mascot,Freeform,[Bobcat sticker],Small Talk,Small Talk,Partial,No content,FALSE,FALSE,
2/12/19 8:44PM,NYU Violet,Freeform,Want to know where the best places to nap or where to get something to eat at 3AM? I've got you covered!,Explore NYU & NYC Welcome,Miscellaneous,None,AI,FALSE,FALSE,
2/12/19 8:44PM,The city is my campus,Freeform,Yikes! I couldn't find that. Want me to connect you with one of my humans? ✏️,Fallback,Fallback,None,Vague,FALSE,FALSE,
2/12/19 8:45PM,events,Freeform,"For all of NYU's awesome events, check out their calendar:
",?Events,Miscellaneous,Full,,FALSE,FALSE,
2/12/19 8:45PM,Academic Calendar,Freeform,For the academic calender,?Academic Calendar,Academics,Full,,FALSE,FALSE,
2/12/19 8:45PM,WHATS THE AVERAGE GPA,Freeform,The average SAT scores for NYU’s Class of 2022 were:,?Average SAT Score,Admissions,None,No content,FALSE,FALSE,
2/12/19 8:45PM,i need a job,Freeform,"Looking for a job? NYU CareerNet is the Wasserman Center's online database for jobs, internships, and on-campus employment",On-Campus Employment,Wasserman,Full,,FALSE,FALSE,
2/12/19 8:45PM,average gpa,Freeform,The average SAT scores for NYU’s Class of 2022 were:,?Average SAT Score,Admissions,None,No content,FALSE,FALSE,
2/12/19 8:46PM,I want to drop out,Freeform,Yikes! I couldn't find that. Want me to connect you with one of my humans? ✏️,Fallback,Fallback,None,No content,TRUE,TRUE,
2/12/19 8:47PM,How do I schedule a travel vaccination appointment with health center?,Freeform,"To set up an appointment, you can call them during business hours:
For Physical Health
For Mental Health
After hours info
You can also make online appointments for services pertaining to Primary Care, Women's Health, and HIV Rapid Test
Click here!
For students who are experiencing an urgent need and cannot wait for an appointment, walk-in opportunities are offered.",SHC Appointment,Student Health Center,Full,,FALSE,FALSE,
2/12/19 8:47PM,Academic calendar,Freeform,For the academic calendar,?Academic Calendar,Academics,Full,,FALSE,FALSE,
2/12/19 8:49PM,What do you know about NYU wellness?,Freeform,"The Washington Square SHC is open Monday through Saturday at 726 Broadway, 
New York, NY 10003
",SHC Manhattan,Student Health Center,Full,,FALSE,FALSE,
2/12/19 8:49PM,What is andy hamilton's salary?,Freeform,Andrew (Andy) Hamilton is our very own president here at NYU 💜,?Andy Hamilton,Administration,None,No content,FALSE,FALSE,
2/12/19 8:49PM,tuition too high,Freeform,"As of March 2018, these are the expected cost of attendance. Subject to change.",Cost of Attendance,Finances,None,AI,FALSE,TRUE,
2/12/19 8:50PM,🛠 Self-Development,Button,For questions about self-development:,Development Menu,Development,Full,,FALSE,FALSE,
2/12/19 8:50PM,More Info,Button,"Got questions about sexuality, sexual health, safer sex, intimacy, or anything else related to sex?
",Ask the Sexpert,Student Health Center,Full,,FALSE,FALSE,
2/12/19 8:50PM,Programs/Events,Button,The Student Health Center always has a bunch of events going on around campus,SHC Programs/Events,Student Health Center,Full,,FALSE,FALSE,
2/12/19 8:50PM,when was nyu created,Freeform,"I was made by the Office of UX Student, Technology, and Engagement!
Want to meet the awesome people I get to work with?",Small Talk,Small Talk,None,No content,FALSE,FALSE,
2/12/19 8:51PM,what's for dinner at weinstein tonight,Freeform,"18 Below
18 Waverly Pl., New York, NY 10003
Menu
Take me there!
Jasper Kane
6 MetroTech Center, Brooklyn, NY 11201
Menu
Take me there!",Dining Menus,Dining,Partial,No content,TRUE,FALSE,"Gallery had menu for Sidestein, but not other Weinstein dining halls. User replied ""no, idiot"""
2/12/19 8:51PM,💭 Feedback,Button,What would you like to tell me about NYU? Please answer in a single message so nothing gets lost.,Feedback Welcome,Feedback,Full,,FALSE,FALSE,
2/12/19 8:51PM,💜 NYU,Button,What would you like to tell me about NYU? Please answer in a single message so nothing gets lost.,Feedback NYU,Feedback,Full,,FALSE,FALSE,
2/12/19 8:51PM,How do I get a good grade on my exam,Freeform,"To see your midterm and final grades, use Albert by clicking
Here!",?Grades,Academics,None,AI,FALSE,FALSE,Direct to ULC
2/12/19 8:52PM,"this place stresses me out, to be honest",Freeform,"If you'd like my team to respond to you, please let me know your email address!",Feedback NYU,Feedback,Full,,FALSE,TRUE,
2/12/19 8:56PM,I got a bad grade,Freeform,"Looking for a job? NYU CareerNet is the Wasserman Center's online database for jobs, internships, and on-campus employment
NYU CareerNet Site",On-Campus Employment,Wasserman,None,AI,FALSE,TRUE,Direct to ULC
2/12/19 8:56PM,I'm depressed,Freeform,"If you or another are in a life- or limb-threatening emergency, please call 911
Call now
If you are in a situation were you or another could be harmed, please contact:
Public Safety 
Wellness Exchange
Health Center
You can talk to counselor 24 hours a day through the Wellness Exchange App
iPhone
Android",Emergency,Emergency,Full,,FALSE,TRUE,
2/12/19 8:56PM,I need a ride home,Freeform,Of course! How can I help?,Small Talk,Small Talk,None,AI,TRUE,FALSE,Direct to Safe Ride
2/12/19 8:56PM,I need a ride,Freeform,Of course! How can I help?,Small Talk,Small Talk,None,AI,TRUE,FALSE,Direct to Safe Ride
2/12/19 8:57PM,Where is the library?,Freeform,"Hours
library.nyu.edu",Dibner,Libraries,Partial,No content,TRUE,FALSE,Should have directed to ask which library
2/12/19 8:57PM,Where is Bobst?,Freeform,"The address for Bobst Library is:
70 Washington Sq. South 
New York, NY 10012
",Bobst Address,Libraries,Full,,FALSE,FALSE,
2/12/19 8:57PM,Reserve a Room,Button,NYU Bobst offers a number of study rooms and spaces! To check them out and reserve a room,Bobst Room Reserve,Libraries,Full,,FALSE,FALSE,
2/12/19 8:58PM,What’s the weather like?,Freeform,Here's the weather for Washington Square Park:,Weather,Weather,Full,,FALSE,FALSE,
2/12/19 8:59PM,Making Friends Guide,Button,"Going to an urban school with a student body of over 50,000 can be pretty overwhelming, but it doesn’t mean making friends is impossible.",?Making Friends,Miscellaneous,Full,,FALSE,FALSE,
2/12/19 9:0PM,Is palladium gym open now,Freeform,"The address for Palladium Athletic Facility is: 
140 E 14th St. 
New York, NY 10003",PAF Address,Athletics,Partial,AI,FALSE,FALSE,
2/12/19 9:0PM,Is it open,Freeform,"The hours for U-Hall Commons are:

Monday through Friday 
11AM to 11PM

Saturday and Sunday 
4 to 11PM",UHall Commons Hours,Dining,None,No context,FALSE,FALSE,
2/12/19 9:0PM,Hours palladium gym,Freeform,"The address for Palladium Athletic Facility is: 
140 E 14th St. 
New York, NY 10003",PAF Address,Athletics,Partial,AI,FALSE,FALSE,
2/12/19 9:0PM,I'm lonely,Freeform,Sometimes that happens. We can chat a bit if that will help you.,Small Talk,Small Talk,Full,,FALSE,TRUE,
2/12/19 9:0PM,You should offer the wellness hotline,Freeform,The Washington Square SHC is open Monday through Saturday at 726 Broadway,SHC Manhattan,Student Health Center,Full,,FALSE,TRUE,
2/12/19 9:0PM,wellness exchange,Freeform,"If you are in need of services on Sunday, feel free to call them",SHC Manhattan,Student Health Center,None,AI,TRUE,TRUE,
2/12/19 9:0PM,Safe sex ?,Freeform,"Let's Talk About Consent
www.youtube.com
Watch Video
HIV Testing and Counseling
www.nyu.edu
More Info
Sexually Transmitted Infections (STIs) Info
www.nyu.edu
More Info
Free Safer Sex Supplies
726 Broadway, 3rd Floor
www.google.com
Take me there!
Want to find out more?
www.nyu.edu
Click here!
",?Sexual Health,Student Health Center,Full,,FALSE,FALSE,
2/12/19 9:0PM,what does andy hamilton look like,Freeform,"Andrew (Andy) Hamilton is our very own president here at NYU 💜
The best way to reach him would be his email: andrew.hamilton@nyu.edu",?Andy Hamilton,Administration,Full,,FALSE,FALSE,
2/12/19 9:1PM,Wellness Exchange Hotline,Freeform,"On top of the global sites, NYU has numerous opportunities for students to study at other universities",International Exchange,Study Away,None,AI,FALSE,TRUE,
2/12/19 9:4PM,How private is this conversation,Freeform,"Sorry I didn't understand that, but I know a human who can. Want me to connect you? ✏️",Fallback,Fallback,None,No content,FALSE,FALSE,Send privacy policy
2/12/19 9:5PM,✍️ Admissions,Button,For questions about admissions:,Admissions Menu,Admissions,Full,,FALSE,FALSE,
2/12/19 9:5PM,👋 Visiting,Button,Thinking of coming to visit for a while? Awesome — NYU welcomes visiting students all year round!,Visiting Students Welcome,Special Sessions,Full,,FALSE,FALSE,
2/12/19 9:5PM,High School Programs,Button,"NYU’s array of high school programs offer flexibility and options for your individual needs and schedule
",VS High School Programs,Special Sessions,Full,,FALSE,FALSE,
2/12/19 9:5PM,📍Campus Life,Button,For questions about campus life:,Campus Menu,Campus,Full,,FALSE,FALSE,
2/12/19 9:5PM,printing,Freeform,Oops I didn't get that. Wanna talk with a human? ✏️,Fallback,Fallback,None,AI,TRUE,FALSE,
2/12/19 9:5PM,where are printers?,Freeform,"Student Resource Center
60 Washington Sq S Ste 210 (Laguardia Place), New York, NY
Take me there!
Kimmel Computer Lab
60 Washington Square S
New York, NY 10012",Printer Locations,Campus,Full,,FALSE,FALSE,
2/12/19 9:5PM,💸 Discounts,Button,"If there's one thing everybody loves, it's getting discounts. Here are some of the businesses around NYC that offer them to NYU students. Enjoy!",Discounts,Miscellaneous,Full,,FALSE,FALSE,
2/12/19 9:9PM,i am sad,Freeform,Here are some great mental health resources around NYU!,?Mental Health Resources,Student Health Center,Full,,FALSE,TRUE,
2/12/19 9:11PM,Is there going to be study abroad info sessions soon?,Freeform,"NYU offers unparalleled opportunities to expand and enrich your education with an integrated, globally designed curriculum. With 15 global locations around the world, the sun never sets on NYU!",Study Away Welcome,Study Away,Full,,FALSE,FALSE,
2/12/19 9:11PM,contact information for more information,Freeform,"Sorry I didn't understand that, but I know a human who can. Want me to connect you? ✏️",Fallback,Fallback,None,No context,FALSE,FALSE,
2/12/19 9:11PM,about study abroad,Freeform,"NYU offers unparalleled opportunities to expand and enrich your education with an integrated, globally designed curriculum. With 15 global locations around the world, the sun never sets on NYU!",Study Away Welcome,Study Away,Full,,FALSE,FALSE,
2/12/19 9:11PM,General Questions,Button,What question can I help you answer about study away?,SA Question Home,Study Away,Full,,FALSE,FALSE,
2/12/19 9:12PM,is NYU going to hold informational sessions?,Freeform,"NYU offers unparalleled opportunities to expand and enrich your education with an integrated, globally designed curriculum. With 15 global locations around the world, the sun never sets on NYU!",Study Away Welcome,Study Away,Partial,No context,FALSE,FALSE,
2/12/19 9:12PM,where can I get more infromation,Freeform,"Looking for the best place to get a quick snack between classes, or wanna drown in the options of food markets?",Food Menu,Food & Drink,None,No context,FALSE,FALSE,Referring to study abroad information. Lacking context on its own.
2/12/19 9:12PM,Which dining hall is the best?,Freeform,"The Kosher Eatery is a home away from home where diners can observe a kosher lifestyle with others who share the same commitments. 100% KOF-K supervised kosher program is served daily as well as a weekly Friday night Shabbat meal.
What would you like to know about Kosher Eatery?",Kosher Eatery Home,Dining,Partial,AI,FALSE,FALSE,Direct to random dining
2/12/19 9:13PM,🍳 Cheap Eats,Button,"For those of you on a budget (so, basically every NYU student), avoid double-digit bills with this list.",Cheap Eats,Food & Drink,Full,,FALSE,FALSE,
2/12/19 9:13PM,more,Freeform,I think I misunderstood. Would you like me to connect you with one of my humans? ✏️,Fallback,Fallback,None,No context,FALSE,FALSE,Referring to more cheap eats
2/12/19 9:13PM,why does NYU use slave labor,Freeform,Meal Swipes can be used at any of the NYU dining halls as well as Dunkin Donuts and Peet's Coffee,Meal Plan Currency,Dining,None,No content,FALSE,TRUE,
2/12/19 9:16PM,why didn't we close school today?,Freeform,Oops I didn't get that. Wanna talk with a human? ✏️,Fallback,Fallback,None,AI,TRUE,TRUE,NYU had snow that day
2/12/19 9:16PM,why didn't we close school today,Freeform,Oops I didn't get that. Wanna talk with a human? ✏️,Fallback,Fallback,None,AI,TRUE,TRUE,NYU had snow that day
2/12/19 9:16PM,just tell me the answer,Freeform,"I'm sorry I didn't answer your question. If you would like to speak to a human, just type ""human""!",Fallback,Fallback,Partial,No context,TRUE,TRUE,
2/12/19 9:24PM,i want food but i dont have money,Freeform,I think I misunderstood. Would you like me to connect you with one of my humans? ✏️,Fallback,Fallback,None,AI,FALSE,TRUE,Direct to courtesy meals
2/12/19 9:31PM,🛠 Self-Development,Button,For questions about self-development:,Development Menu,Development,Full,,FALSE,FALSE,
2/12/19 9:37PM,Are classes canceled tomorrow?,Freeform,"Everyone has that friend who swears by The Science of Happiness or some other super fun class you’re really jealous of. Well, my humans dug around Albert to find some of the coolest classes available, whether you want to take them or just brag about how dope NYU is.",Cool Classes,Academics,None,AI,TRUE,FALSE,
2/12/19 9:38PM,How do I make more friends at NYU?,Freeform,"Going to an urban school with a student body of over 50,000 can be pretty overwhelming, but it doesn’t mean making friends is impossible.",?Making Friends,Miscellaneous,Full,,FALSE,FALSE,
2/12/19 9:39PM,food,Freeform,"Looking for the best place to get a quick snack between classes, or wanna drown in the options of food markets?",Food Menu,Food & Drink,Full,,FALSE,FALSE,
2/12/19 9:40PM,Building codes,Freeform,NYU's building codes can be confusing. Good thing I have them all memorized!,Building Codes,Campus,Full,,FALSE,FALSE,
2/12/19 9:40PM,5FA,Freeform,Do you want to look up another one?,Building Codes,Campus,None,Typo,FALSE,FALSE,Not a building code
2/12/19 9:40PM,KMEC,Freeform,I think I misunderstood. Would you like me to connect you with one of my humans? ✏️,Fallback,Fallback,None,No context,FALSE,FALSE,
2/12/19 9:40PM,KMC,Freeform,"Sorry I didn't understand that, but I know a human who can. Want me to connect you? ✏️",Fallback,Fallback,None,No context,FALSE,FALSE,
2/12/19 9:40PM,building code,Freeform,NYU's building codes can be confusing. Good thing I have them all memorized!,Building Codes,Campus,Full,,FALSE,FALSE,
2/12/19 9:40PM,🛒 Grocery Stores,Button,"No meal swipes? No problem! We have to grow up sometime, and going grocery shopping is a certain rite of passage. Time to whip up your faves from Palladium Brunch — all from scratch!",Grocery Stores,Food & Drink,Full,,FALSE,FALSE,
2/12/19 9:41PM,Why can’t I bring a couch in my room,Freeform,"Here is a list of items students are encouraged to bring:
🛏️Bedding, linens, towels
💞 Personal items
🍽️ Cooking equipment
❄️ Refrigerator and/or microwave
📺 Room amenities
For a complete and up to date list of all items:",Allowed Items,Housing,Partial,No content,FALSE,TRUE,
2/12/19 9:41PM,🛠 Self-Development,Button,For questions about self-development:,Development Menu,Development,Full,,FALSE,FALSE,
2/12/19 9:41PM,✍️ Admissions,Button,For questions about admissions:,Admissions Menu,Admissions,Full,,FALSE,FALSE,
2/12/19 9:41PM,🐣 Undergraduate,Button,Welcome to NYU Admissions. What would you like to know more about?,Undergraduate Admissions Welcome,Admissions,Full,,FALSE,FALSE,
2/12/19 9:41PM,Application Process,Button,For more info on the application process,UA Application,Admissions,Full,,FALSE,FALSE,
2/12/19 9:42PM,What is the Stern undergraduate acceptance rate for 2015?,Freeform,"The address for the Stern School of Business, Undergraduate College is:
40 West 4th St., 
New York, NY 10012",Stern School of Business Undergraduate College Address,Campus,None,No answer,FALSE,FALSE,
2/12/19 9:42PM,Who is the university president?,Freeform,Andrew (Andy) Hamilton is our very own president here at NYU 💜,?Andy Hamilton,Administration,Full,,FALSE,FALSE,
2/12/19 9:44PM,What happens if I graduate,Freeform,"For all of NYU's awesome events, check out their calendar:
",?Events,Miscellaneous,Partial,Vague,FALSE,FALSE,
2/12/19 9:45PM,is school closed tomorrow?,Freeform,"The general hours for Bobst are:
Open Stacks	
7 to 1AM

Library Privileges	
9AM to 7PM

Circulation & Reserves	
9AM to 10:30PM

Lower Levels 1 & 2	
24 Hours

Ask a Librarian	
24 Hours",Bobst Hours,Libraries,Partial,No content,TRUE,FALSE,Snow day
2/12/19 9:47PM,Circle K,Freeform,Good!,Small Talk,Small Talk,None,No content,FALSE,FALSE,
2/12/19 9:47PM,How do I join circle k?,Freeform,"It all starts at Meet the Greeks, an event where students to get to know all chapters on campus. At NYU, chapters recruit new members at the start of the Spring and Fall semesters
What type of Greek Life are you interested in?",FSL Joining,Center for Student Life,None,No content,FALSE,FALSE,
2/12/19 9:47PM,What's the best club on campus,Freeform,"For all of NYU's awesome events, check out their calendar:
Click here!",?Events,Miscellaneous,None,No answer,TRUE,FALSE,
2/12/19 9:47PM,what spanish course do i take after intermediate spanish II,Freeform,"To check out NYU's public course search
Click here!",?Course Search,Academics,Partial,No answer,FALSE,FALSE,Too specific
2/12/19 9:48PM,Best dining hall food?,Freeform,"Everyone has that friend who swears by The Science of Happiness or some other super fun class you’re really jealous of. Well, my humans dug around Albert to find some of the coolest classes available, whether you want to take them or just brag about how dope NYU is.",Cool Classes,Academics,None,AI,FALSE,FALSE,
2/12/19 9:48PM,why does nyu suck,Freeform,Oops I didn't get that. Wanna talk with a human? ✏️,Fallback,Fallback,None,AI,FALSE,TRUE,Direct to feedback
2/12/19 9:49PM,NYU is bad,Freeform,Want to know where the best places to nap or where to get something to eat at 3AM? I've got you covered!,Explore NYU & NYC Welcome,Miscellaneous,None,AI,FALSE,TRUE,Direct to feedback
2/12/19 9:50PM,is nyu going to address the sexual assault problem on campus anytime soon,Freeform,"NYU is committed to complying with Title IX and enforcing University policies prohibiting discrimination on the basis of sex.
STEP 1: Once you are safe, call the Wellness Exchange
Call the Wellness Exchange (212. 443.9999) & ask for a Crisis Response Counselor
www.nyu.edu
More Info",?Title IX,Miscellaneous,Full,,FALSE,TRUE,
2/12/19 9:51PM,why does nyu not report suicide or sexual assaults that happen in off campus apartments,Freeform,"Whether you are relocating from abroad or a current NYU housing resident, the apartment hunting process is often bewildering for even long time New Yorkers.
Step 1: Finding Roommates
Work together to establish and maintain a positive living environment
www.nyu.edu
More Info",?Off Campus Living,Housing,None,No answer,FALSE,TRUE,Too complex
2/12/19 9:51PM,when is washington square park's construction going to be over,Freeform,"There are many ways to get to NYU:
By Plane
Fly into LaGuardia, Kennedy, or Newark Airport and take public transit to NYU",?Getting to NYU,Campus,None,No answer,FALSE,TRUE,
2/12/19 9:55PM,food,Freeform,"Looking for the best place to get a quick snack between classes, or wanna drown in the options of food markets?",Food Menu,Food & Drink,Full,,FALSE,FALSE,
2/12/19 9:57PM,food,Freeform,"Looking for the best place to get a quick snack between classes, or wanna drown in the options of food markets?",Food Menu,Food & Drink,Full,,FALSE,FALSE,
2/12/19 9:58PM,Get grade transcript,Freeform,"NYU is required to verify part of their student population applying for federal financial aid. If there are differences between the information reported on the FAFSA and the information in this review, NYU must make corrections to the application. Students’ eligibility for federal and/or institutional aid may change as a result.",?Verification,Finances,None,AI,TRUE,FALSE,
2/12/19 9:59PM,How much that the president of nyu earns?,Freeform,Andrew (Andy) Hamilton is our very own president here at NYU 💜,?Andy Hamilton,Administration,None,No content,FALSE,FALSE,
2/12/19 9:59PM,Why is tuition so expensive?,Freeform,"As of March 2018, these are the expected cost of attendance. Subject to change.",Cost of Attendance,Finances,Partial,AI,FALSE,TRUE,
2/12/19 10:2PM,🛠 Self-Development,Button,For questions about self-development:,Development Menu,Development,Full,,FALSE,FALSE,
2/12/19 10:2PM,clubs,Freeform,What would you like to know about clubs?,Clubs Info Welcome,Center for Student Life,Full,,FALSE,FALSE,
2/12/19 10:3PM,politics address,Freeform,"The address for Second Street Hall is:
1 E 2nd St.,
New York, NY 10003",2nd St Address,Housing,None,No content,FALSE,FALSE,
